label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes,
RmCmS8,A8dl_R,18.8024037,25.7397728,56.2935925,21.2993577,24.3719953,58.9463038,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 4 D,,,
RmCmS9,Unknown,21.1970177,27.7385359,60.6891088,23.8901171,27.463982,63.6269985,Unknown,Unknown,Unknown,R Superior Frontal Gyrus,Unknown,Unknown,OOB,,
RmOlF1,A11m_R,7.22843611,44.1283932,-4.8440447,9.35823868,35.604986,-19.023187,Gray,Right GRe gyrus rectus,Area Fo1,R Rectal Gyrus,R OrG,Right frontal orbital 4 A,WM,,
RmOlF2,Unknown,12.4167664,44.1283932,-1.6473055,15.1149623,36.3502074,-14.905803,White,Right Cerebral White Matter,Unknown,R Rectal Gyrus,Unknown,Unknown,WM,,
RmOlF3,A11l_R,16.4077897,44.1283932,0.35065651,19.54312,36.7812877,-12.25378,White,Right Cerebral White Matter,Unknown,Unknown,R OrG,Right frontal orbital 4 C,WM,,
RmOlF4,A11l_R,20.7979153,44.1283932,3.14780331,24.6048756,37.2986009,-8.7990074,White,Right Cerebral White Matter,Area Fo3,R IFG (p Orbitalis),R OrG,Right frontal orbital 4 D,WM,,
RmOlF5,A11l_R,23.990734,44.1283932,5.1457653,28.2471393,37.6588739,-6.2747939,White,Right Cerebral White Matter,Unknown,R IFG (p Orbitalis),R OrG,Right frontal orbital 4 D,WM,,
RmOlF6,Unknown,29.9772689,44.5281458,8.7420969,35.0728738,38.8301044,-1.827112,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,
RmOlF7,A45r_R,33.9682922,44.5281458,11.1396513,39.6421389,39.3728666,1.08482209,White,Right Cerebral White Matter,Unknown,R IFG (p Triangularis),R IFG,Right anterior pars triangularis A,WM,,
RmOlF8,IFS_R,37.1611109,44.9278984,13.1376133,43.2379241,40.2880582,3.366332,White,Right TrIFG triangular part of the inferior frontal gyrus,Unknown,R Middle Frontal Gyrus,R IFG,Right anterior pars triangularis A,WM,,
RmOlF9,IFS_R,40.7530318,44.9278984,15.1355753,47.2868594,40.8103447,5.73286304,Gray,Right TrIFG triangular part of the inferior frontal gyrus,Unknown,R IFG (p Triangularis),R IFG,Right anterior pars triangularis A,WM,,
uLAgIT,A38m_L,-22.704239,20.9427414,-16.831817,-23.780532,7.25577518,-28.784219,Gray,Left TMP temporal pole,Unknown,L Temporal Pole,L STG,Left superior temporal pole A,Left parahippocampal gyrus A,,
uLmOlF,A11m_L,-5.9419408,42.9291353,-9.6391535,-5.7421375,33.0763556,-24.452764,Gray,Left GRe gyrus rectus,Area Fo1,L Rectal Gyrus,L OrG,Left frontal orbital 4 A,,,
uRAgIT,rHipp_R,14.0131757,10.948926,-17.631001,17.5312951,-3.8653327,-26.684077,Gray,Right PHG parahippocampal gyrus,Entorhinal Cortex,R ParaHippocampal Gyrus,R Hipp,Right parahippocampal gyrus A,,,
uRmOlF,A13_R,4.4347198,44.1283932,-6.4424143,6.1857295,35.2196189,-20.90961,White,Right MFC medial frontal cortex,Area Fo1,R Rectal Gyrus,R OrG,Right frontal orbital 4 A,WM,,
